 604 (28,18) U+269D '⚝'
 605 (29,18) U+269E '⚞'
 606 (30,18) U+269F '⚟'
 607 (31,18) U+26A0 '⚠'
 608 ( 0,19) U+26A1 '⚡'
 609 ( 1,19) U+26A2 '⚢'
 610 ( 2,19) U+26A3 '⚣'
 611 ( 3,19) U+26A4 '⚤'
 612 ( 4,19) U+26A5 '⚥'
 613 ( 5,19) U+26A6 '⚦'
 614 ( 6,19) U+26A7 '⚧'
 615 ( 7,19) U+26A8 '⚨'
 616 ( 8,19) U+26A9 '⚩'
 617 ( 9,19) U+26AA '⚪'
 618 (10,19) U+26AB '⚫'
 619 (11,19) U+26AC '⚬'
 620 (12,19) U+26AD '⚭'
 621 (13,19) U+26AE '⚮'
 622 (14,19) U+26AF '⚯'
 623 (15,19) U+26B0 '⚰'
 624 (16,19) U+26B1 '⚱'
 625 (17,19) U+26B2 '⚲'
 626 (18,19) U+26B3 '⚳'
 627 (19,19) U+26B4 '⚴'
 628 (20,19) U+26B5 '⚵'
 629 (21,19) U+26B6 '⚶'
 630 (22,19) U+26B7 '⚷'
 631 (23,19) U+26B8 '⚸'
 632 (24,19) U+26B9 '⚹'
 633 (25,19) U+26BA '⚺'
 634 (26,19) U+26BB '⚻'
 635 (27,19) U+26BC '⚼'
 636 (28,19) U+26BD '⚽'
 637 (29,19) U+26BE '⚾'
 638 (30,19) U+26BF '⚿'
 639 (31,19) U+26C0 '⛀'
 640 ( 0,20) U+26C1 '⛁'
 641 ( 1,20) U+26C2 '⛂'
 642 ( 2,20) U+26C3 '⛃'
 643 ( 3,20) U+26C4 '⛄'
 644 ( 4,20) U+26C5 '⛅'
 645 ( 5,20) U+26C6 '⛆'
 646 ( 6,20) U+26C7 '⛇'
 647 ( 7,20) U+26C8 '⛈'
 648 ( 8,20) U+26C9 '⛉'
 649 ( 9,20) U+26CA '⛊'
 650 (10,20) U+26CB '⛋'
 651 (11,20) U+26CC '⛌'
 652 (12,20) U+26CD '⛍'
 653 (13,20) U+26CE '⛎'
 654 (14,20) U+26CF '⛏'
 655 (15,20) U+26D0 '⛐'
 656 (16,20) U+26D1 '⛑'
 657 (17,20) U+26D2 '⛒'
 658 (18,20) U+26D3 '⛓'
 659 (19,20) U+26D4 '⛔'
 660 (20,20) U+26D5 '⛕'
 661 (21,20) U+26D6 '⛖'
 662 (22,20) U+26D7 '⛗'
 663 (23,20) U+26D8 '⛘'
 664 (24,20) U+26D9 '⛙'
 665 (25,20) U+26DA '⛚'
 666 (26,20) U+26DB '⛛'
 667 (27,20) U+26DC '⛜'
 668 (28,20) U+26DD '⛝'
 669 (29,20) U+26DE '⛞'
 670 (30,20) U+26DF '⛟'
 671 (31,20) U+26E0 '⛠'
 672 ( 0,21) U+26E1 '⛡'
 673 ( 1,21) U+26E2 '⛢'
 674 ( 2,21) U+26E3 '⛣'
 675 ( 3,21) U+26E4 '⛤'
 676 ( 4,21) U+26E5 '⛥'
 677 ( 5,21) U+26E6 '⛦'
 678 ( 6,21) U+26E7 '⛧'
 679 ( 7,21) U+26E8 '⛨'
 680 ( 8,21) U+26E9 '⛩'
 681 ( 9,21) U+26EA '⛪'
